시간,시가,고가,저가,종가,5_종가,10_종가,20_종가,60_종가,120_종가,거래량,5_거래량,10_거래량,20_거래량,60_거래량,120_거래량
"01/29,14:18","74,700","74,900","74,700","74,800","74,740.00","74,750.00","74,805.00","74,703.33","74,596.67","157,397","37,691.60","23,974.10","30,528.55","32,069.05","22,770.86"
"01/29,14:17","74,700","74,800","74,700","74,700","74,740.00","74,750.00","74,805.00","74,701.67","74,594.17","9,675","7,735.80","11,073.90","23,111.50","29,553.95","21,492.22"
"01/29,14:16","74,700","74,800","74,700","74,800","74,760.00","74,760.00","74,810.00","74,700.00","74,593.33","8,009","8,835.60","15,057.60","34,474.90","29,469.88","21,431.79"
"01/29,14:15","74,700","74,800","74,700","74,700","74,740.00","74,760.00","74,805.00","74,698.33","74,590.83","6,974","10,233.80","34,014.80","34,368.20","29,478.15","21,394.25"
"01/29,14:14","74,700","74,800","74,700","74,700","74,760.00","74,780.00","74,805.00","74,696.67","74,590.00","6,403","10,194.80","34,499.60","34,338.45","29,447.67","21,354.85"
"01/29,14:13","74,700","74,800","74,700","74,800","74,760.00","74,800.00","74,805.00","74,696.67","74,589.17","7,618","10,256.60","36,296.80","36,781.80","29,394.37","21,518.68"
"01/29,14:12","74,700","74,800","74,700","74,800","74,760.00","74,800.00","74,800.00","74,693.33","74,588.33","15,174","14,412.00","38,312.60","40,662.05","29,372.07","21,517.94"
"01/29,14:11","74,700","74,800","74,700","74,700","74,760.00","74,810.00","74,795.00","74,691.67","74,586.67","15,000","21,279.60","37,415.20","40,775.85","29,378.28","21,444.52"
"01/29,14:10","74,800","74,800","74,700","74,800","74,780.00","74,830.00","74,795.00","74,690.00","74,585.83","6,779","57,795.80","36,698.80","40,386.45","30,996.48","22,403.88"
"01/29,14:09","74,800","74,800","74,700","74,700","74,800.00","74,840.00","74,790.00","74,685.00","74,584.17","6,712","58,804.40","37,069.50","40,596.05","31,195.70","22,378.68"
"01/29,14:08","74,800","74,800","74,700","74,800","74,840.00","74,860.00","74,790.00","74,683.33","74,582.50","28,395","62,337.00","37,083.00","40,797.95","31,128.47","22,344.36"
"01/29,14:07","74,800","74,900","74,800","74,800","74,840.00","74,860.00","74,785.00","74,680.00","74,580.83","49,512","62,213.20","35,149.10","40,334.50","30,695.02","22,133.44"
"01/29,14:06","74,800","74,900","74,700","74,800","74,860.00","74,860.00","74,785.00","74,675.00","74,578.33","197,581","53,550.80","53,892.20","44,473.85","30,161.15","22,798.53"
"01/29,14:05","74,900","74,900","74,800","74,900","74,880.00","74,850.00","74,775.00","74,671.67","74,575.83","11,822","15,601.80","34,721.60","37,974.35","27,016.75","21,187.28"
"01/29,14:04","74,900","74,900","74,800","74,900","74,880.00","74,830.00","74,765.00","74,666.67","74,573.33","24,375","15,334.60","34,177.30","37,661.65","26,854.30","21,153.21"
"01/29,14:03","74,900","74,900","74,800","74,800","74,880.00","74,810.00","74,755.00","74,660.00","74,570.00","27,776","11,829.00","37,266.80","36,841.10","26,484.85","20,977.65"
"01/29,14:02","74,900","74,900","74,800","74,900","74,880.00","74,800.00","74,745.00","74,655.00","74,567.50","6,200","8,085.00","43,011.50","35,825.70","26,079.53","20,956.38"
"01/29,14:01","74,800","74,900","74,800","74,900","74,860.00","74,780.00","74,730.00","74,648.33","74,564.17","7,836","54,233.60","44,136.50","35,759.05","26,030.73","21,597.50"
"01/29,14:00","74,900","74,900","74,800","74,900","74,820.00","74,760.00","74,715.00","74,641.67","74,560.83","10,486","53,841.40","44,074.10","35,634.00","26,103.63","21,562.99"
"01/29,13:59","74,800","74,900","74,800","74,900","74,780.00","74,740.00","74,705.00","74,636.67","74,557.50","6,847","53,020.00","44,122.60","35,361.05","26,016.40","21,538.58"
"01/29,13:58","74,900","74,900","74,800","74,800","74,740.00","74,720.00","74,695.00","74,630.00","74,554.17","9,056","62,704.60","44,512.90","35,381.00","25,954.33","22,286.41"
"01/29,13:57","74,800","74,900","74,700","74,800","74,720.00","74,710.00","74,685.00","74,626.67","74,551.67","236,943","77,938.00","45,519.90","41,124.65","26,010.55","22,244.13"
"01/29,13:56","74,700","74,800","74,700","74,700","74,700.00","74,710.00","74,675.00","74,621.67","74,548.33","5,875","34,039.40","35,055.50","29,568.15","22,218.02","20,308.19"
"01/29,13:55","74,800","74,800","74,700","74,700","74,700.00","74,700.00","74,670.00","74,618.33","74,546.67","6,379","34,306.80","41,227.10","29,646.55","23,884.22","20,294.18"
"01/29,13:54","74,700","74,800","74,600","74,700","74,700.00","74,700.00","74,665.00","74,613.33","74,545.00","55,270","35,225.20","41,146.00","37,362.00","23,912.97","20,272.17"
"01/29,13:53","74,800","74,800","74,600","74,700","74,700.00","74,700.00","74,655.00","74,608.33","74,542.50","85,223","26,321.20","36,415.40","34,893.45","23,089.67","19,834.36"
"01/29,13:52","74,700","74,800","74,700","74,700","74,700.00","74,690.00","74,650.00","74,603.33","74,540.00","17,450","13,101.80","28,639.90","30,983.55","21,739.27","19,179.31"
"01/29,13:51","74,700","74,800","74,700","74,700","74,720.00","74,680.00","74,645.00","74,598.33","74,538.33","7,212","36,071.60","27,381.60","39,587.10","21,476.00","19,312.50"
"01/29,13:50","74,800","74,800","74,700","74,700","74,700.00","74,670.00","74,640.00","74,593.33","74,536.67","10,971","48,147.40","27,193.90","39,536.15","21,393.40","19,316.08"
"01/29,13:49","74,800","74,800","74,700","74,700","74,700.00","74,670.00","74,640.00","74,588.33","74,535.00","10,750","47,066.80","26,599.50","39,546.30","21,299.20","19,286.08"
"01/29,13:48","74,700","74,800","74,700","74,700","74,700.00","74,670.00","74,635.00","74,583.33","74,532.50","19,126","46,509.60","26,249.10","39,596.95","21,198.18","19,234.73"
"01/29,13:47","74,600","74,800","74,600","74,800","74,680.00","74,660.00","74,630.00","74,580.00","74,530.00","132,299","44,178.00","36,729.40","39,401.90","20,953.55","19,106.74"
"01/29,13:46","74,700","74,700","74,600","74,600","74,640.00","74,640.00","74,620.00","74,573.33","74,526.67","67,591","18,691.60","24,080.80","33,201.45","18,879.32","18,042.03"
"01/29,13:45","74,600","74,700","74,600","74,700","74,640.00","74,640.00","74,620.00","74,571.67","74,525.00","5,568","6,240.40","18,066.00","30,256.75","17,798.02","17,522.58"
"01/29,13:44","74,600","74,700","74,600","74,700","74,640.00","74,630.00","74,615.00","74,566.67","74,522.50","7,964","6,132.20","33,578.00","30,195.75","17,762.72","17,508.92"
"01/29,13:43","74,600","74,700","74,600","74,600","74,640.00","74,610.00","74,610.00","74,563.33","74,520.00","7,468","5,988.60","33,371.50","30,222.65","17,661.93","17,472.95"
"01/29,13:42","74,600","74,700","74,600","74,600","74,640.00","74,610.00","74,610.00","74,561.67","74,519.17","4,867","29,280.80","33,327.20","30,096.85","17,591.42","17,448.55"
"01/29,13:41","74,600","74,700","74,600","74,600","74,640.00","74,610.00","74,610.00","74,558.33","74,518.33","5,335","29,470.00","51,792.60","30,301.00","17,612.28","17,442.44"
"01/29,13:40","74,700","74,700","74,600","74,700","74,640.00","74,610.00","74,615.00","74,555.00","74,517.50","5,027","29,891.60","51,878.40","30,329.50","18,652.92","17,516.71"
"01/29,13:39","74,600","74,700","74,600","74,700","74,620.00","74,610.00","74,610.00","74,548.33","74,515.83","7,246","61,023.80","52,493.10","30,463.70","18,672.52","18,299.97"
"01/29,13:38","74,600","74,700","74,500","74,600","74,580.00","74,600.00","74,610.00","74,543.33","74,514.17","123,929","60,754.40","52,944.80","30,297.60","19,465.45","18,510.86"
"01/29,13:37","74,700","74,700","74,600","74,600","74,580.00","74,600.00","74,615.00","74,540.00","74,513.33","5,813","37,373.60","42,074.40","24,425.70","17,586.67","17,524.97"
"01/29,13:36","74,600","74,700","74,600","74,600","74,580.00","74,600.00","74,615.00","74,538.33","74,513.33","7,443","74,115.20","42,322.10","24,366.60","17,700.13","17,516.54"
"01/29,13:35","74,500","74,700","74,500","74,600","74,580.00","74,600.00","74,620.00","74,536.67","74,513.33","160,688","73,865.20","42,447.50","24,419.70","18,164.38","17,481.18"
"01/29,13:34","74,500","74,600","74,500","74,500","74,600.00","74,600.00","74,620.00","74,533.33","74,512.50","5,899","43,962.40","26,813.50","16,642.55","15,597.88","16,188.87"
"01/29,13:33","74,500","74,600","74,500","74,600","74,620.00","74,610.00","74,630.00","74,533.33","74,512.50","7,025","45,135.20","27,073.80","16,507.85","15,581.93","16,263.02"
"01/29,13:32","74,600","74,700","74,500","74,600","74,620.00","74,610.00","74,630.00","74,530.00","74,512.50","189,521","46,775.20","26,866.50","16,470.60","16,192.02","16,232.53"
"01/29,13:31","74,700","74,700","74,600","74,600","74,620.00","74,610.00","74,635.00","74,526.67","74,511.67","6,193","10,529.00","8,809.40","7,771.90","13,079.35","14,685.43"
"01/29,13:30","74,600","74,700","74,600","74,700","74,620.00","74,620.00","74,635.00","74,525.00","74,510.83","11,174","11,029.80","8,780.60","13,066.85","13,042.03","14,729.09"
